,scale,name
dG_EFE,1.95901953649825,dG_EFE
purineAG_in_min3,0.990421872250891,purineAG_in_min3
U_in_min3,0.582979655415428,U_in_min3
A_in_min1,0.996245187040576,A_in_min1
AA_in_min32,0.744303438468172,AA_in_min32
CG_in_min32,0.402457241189565,CG_in_min32
AC_in_min21,0.657273864835482,AC_in_min21
oof_uAUG,0.117875537597874,oof_uAUG
GACA_kmer,0.370280722046293,GACA_kmer
GG_kmer,0.79033871201463,GG_kmer
CACC_kmer,0.565506992076566,CACC_kmer
CA_in_min76,0.637062110215238,CA_in_min76
CC_in_min76,0.660074360727381,CC_in_min76
