,coefficient,name
intercept,6.17804755058045,intercept
dG_EFE,0.490110185190132,dG_EFE
purineAG_in_min3,0.402586244913205,purineAG_in_min3
U_in_min3,-0.15950353446457,U_in_min3
A_in_min1,0.227415937435034,A_in_min1
AA_in_min32,0.185937815532173,AA_in_min32
CG_in_min32,-0.14672072156857,CG_in_min32
AC_in_min21,-0.125584805082257,AC_in_min21
oof_uAUG,-0.31630882111679,oof_uAUG
GACA_kmer,-0.119333769774379,GACA_kmer
GG_kmer,-0.186417487684326,GG_kmer
CACC_kmer,-0.211677543000485,CACC_kmer
CA_in_min76,-0.113281873435079,CA_in_min76
CC_in_min76,-0.125786394346644,CC_in_min76
